state,city,name,avg_score,price,reviews_url
California,Los Angeles,Hilton Santa Monica,79,691.39,https://www.booking.com/hotel/us/doubletree-guest-suites-santa-monica.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965345&all_sr_blocks=4382641_94263736_2_2_0&highlighted_blocks=4382641_94263736_2_2_0&matching_block_id=4382641_94263736_2_2_0&sr_pri_blocks=4382641_94263736_2_2_0__190165&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Samesun Venice Beach,78,416.219,https://www.booking.com/hotel/us/venice-beach-cotel-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965345&all_sr_blocks=29192602_380211357_0_2_0&highlighted_blocks=29192602_380211357_0_2_0&matching_block_id=29192602_380211357_0_2_0&sr_pri_blocks=29192602_380211357_0_2_0__114480&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Cityscape Luxury Rental Homes in the Heart of Los Angeles,89,633.709,https://www.booking.com/hotel/us/santa-monica-dreaming-luxurious-2-bedrooms-condo-walk-to-beach-limited-time-free.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965345&all_sr_blocks=894222702_363427941_4_0_0&highlighted_blocks=894222702_363427941_4_0_0&matching_block_id=894222702_363427941_4_0_0&sr_pri_blocks=894222702_363427941_4_0_0__174300&from=searchresults#hotelTmpl
California,Los Angeles,Four Seasons Hotel Los Angeles at Beverly Hills,91,4690.099,https://www.booking.com/hotel/us/four-seasons-los-angeles-at-beverly-hills.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965345&all_sr_blocks=25100334_239898992_2_0_0&highlighted_blocks=25100334_239898992_2_0_0&matching_block_id=25100334_239898992_2_0_0&sr_pri_blocks=25100334_239898992_2_0_0__1290000&from=searchresults#hotelTmpl
California,Los Angeles,The Delphi Hotel,82,391.612,https://www.booking.com/hotel/us/the-delphi-downtown-la.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965345&all_sr_blocks=7684802_91461806_2_42_0&highlighted_blocks=7684802_91461806_2_42_0&matching_block_id=7684802_91461806_2_42_0&sr_pri_blocks=7684802_91461806_2_42_0__107712&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Central Los Angeles Hollywood Homes,87,419.273,https://www.booking.com/hotel/us/spacious-apartments-in-hollywood-ideal-for-long-term-stays-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=712746202_372512816_4_0_0&highlighted_blocks=712746202_372512816_4_0_0&matching_block_id=712746202_372512816_4_0_0&sr_pri_blocks=712746202_372512816_4_0_0__115320&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,AC Hotel by Marriott Downtown Los Angeles,83,995.828,https://www.booking.com/hotel/us/ac-by-marriott-los-downtown-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=856598201_353216668_2_2_0&highlighted_blocks=856598201_353216668_2_2_0&matching_block_id=856598201_353216668_2_2_0&sr_pri_blocks=856598201_353216668_2_2_0__273900&nad_id=e6633004-86d6-432f-8442-5475f3a6d30f_12&nad_cpc=1.01&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVOeTBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpKbUdrd0tWZmM3RUV4SjgzU0N4aUFRV0kzcTRrL1ZRSHl5RVQ2ekVDS1JNTjdDT04vajdVYWVMcElPV3RHamNoblQ2MUM1VldUTTJIU1lrVzAyZ3BYQ1RnZWNCSmRTL2dqWTh6dStMZXZEVGxxNlNkQVdXc0xZU3UxUjFWVjIvYU0wM1pMUXN6R1RPUFpXdVBKaXZDZGhKTDRZb2JTdWRIVHp5ZW9BemFDbUpqcFkzZGVOd2ZTVWp4Vm1pd0pCSkpMTUpwckJLZ3J3c2tBbGlQT3RXR3YyblZWYlVhUFAvTEROYW80YnZQSzMzS3JOVGNFMGc2eEk1VmtwWURMUlloKy9nNTVqWXdGbHJnMkY5RXlpTUVxMmZKQlpZREFrdEpFdUdEVzVJQTM3c1ROc250bG9uNzh5QlBIV2tkNnZieXE2VmhqTVBxZm1aOHNrMUx3Z0xCRHRBUzRnS3gySjZtcUR4MHRyNTgxc0lCMWZ4ZnRMaGtGTzExTzdNb01CcVNIZENwYTR3TVFmajR1K1VsbW05YkU0Wm82SkN6VGFGNTl5SnVhdWZqWTRVNU1GZjBtTzZwSzh1TlBKSVRzTGdUWnZ3Q1c3WFlIS1lENGtHYThRK0YrZEFFWHpaMjlPZG14SHlQdk0rdHpJTnV6dzc2Z3B0cUdkMU9wZXFvWkxsZ3BybkJpeDhEem4wZ2o4WlNUaXVBWmRwZ1l6KzFZekxqWHNVN0h4blg0T2NsWHVWblRBVG02ZzJydFppVzdaa2s2YVZJZW9UOEhhMWhoN0EwZmZLQmdacE9PdHgrY2gxTGhmN1dvRWJ4MlpNbWtrTWNqTmlpZzdnNWIwMk43MVBZNHJUanVOcnl3MWdCSmt1U2RHUlNXaUJFc0tnMVQ0dHEzMU13SzNUOWl5MGU5aGdnUzBhemRGU1NJTE9hc2JhODBQQkFYeTlUdXlaRHdaZzBQQWw2K040elV1OXEzOGNLL2o3SlpQU2tISXAyR0YxcC9DRk5DcExuZGtySnFYSWVEOTYzVHlVQ1h0OTdxVjZHME1UamlQRlRvYkdzdTAvOUQ1NllyQ09IUy90eUE0eVdsbGEzMWZVSFJ0WWdNN1h1RGg0bFBQdU11ZWlyNCsxT3VTandLZWVVbHBnWGN6bmRLRm4wZEtDM0FFdy9md0ZUM0hyTHRPNStldTVPK3JWbzErOGtqWGtkWjlKSkxsQy96U1h0SFh3YUhRcUhTNk85S24yUWdMdVdQUXZ6bmJBc3Nzc3NTLzFsbWN1b0ZubHJLUjNvZFJzVE95TEZyMlVrT2JZeWxnMWIvbVVWMlArUkh1WWdwZHJ2K3BkcXhncWRZU3pWNnFyaVNrWTgyNlMrRXY4VkE4M0srcTErRWM0bEdKNUVTeElTRVlUTVNtZU53YzVkTmRoWnFUN2FYeEY4d3hRdGdzd0R2SDBBLzRqc0tsMGhLM28rM0ZOSmxVU1lJdGx3bDVqbVhMR1VLM2ZJck9ETWlYQ08waXFNUmhacEVWVTVUTHBNb0FZUXp1M0QwN2dJMFZ5OUh2dTVFMGpDc1QvVysrZ2FRZEJRWjhGNTVneWtWS29tYWdvMkVYVitwSmthQ0JNR0lzVGIwNkxPbU1QL05Nb2pyNXpvMmcyNEFXcnlHcUkxOGNFRzlSaEIzUnMwSzZIbzZvRGgzS1YxWTJoMldoajdtZmxRaFNBbmNXcHlXSW5QMGRCTldHcmw3SVpaMUEvSmViYlpPa1RDMGVaYmVOVW93bTA5VWFjKzhqQjZMbFp0ajRvZFB5TzlwaEc0bTJ6dXJBdm03WnExUXBnWEVPWm5mbGt0cnhRcHBJSGJ4bFMxWjlodS9oV0RPeGZLVnVNTDN0d2lQbXVlRTErQm94d3hvNkNBcmhwNjlGbEhuclROaHVZV25xNHlJRkNPVGV4ZWhPY3o0ZWY3TEYyVFBwZUloZzNIcDluSENQZmhsaTk3d29PNjNnSUMzSzk1ZlcyZ0lybFRmZmJGeEJ3QUduWmNBcWtZK2lwbXhZZ2Joc1lOZzgrRHFBYW9iNkRZOU5vQ3B0REdZcVVoQjFRMU9ZM295dlNPVmdFblB3VnZMRzl2RDU5ZTA2M2JUV2dYVElNdEQwSWxFQUpudUxldU5ucldqcURxSEhVVldrcElwL0dsbnhzYTlGemV4NkZZNUs5cHBiUXJieTRKSnIxbGk1bGNodFlpYlV3eDFVU1lURjB5b1ZocEJENithdEdsdlY1NE0yNzIwdU5GdjhOUXJkbFdvR2hWVVNOT0xVYXk0Qk4vYlNxdTNpNjlINzRXclM1RW05bXRWUERRbDBEZEIrTTRLUUg5YWFnZ0FCRnhSVmRtQ2lRd0N6M1pPeTlLSTREU0UrQXR0K3RsVENiQkhTTTZpY3o0L3ZWMnhGQWFENUQxUC9ZVWhPQjViYXlYRzBoNEtJbVA2Sjk0YU53dm1NQmRtM1l2a25KeitjZlBRcktGeHFmREhSendPSHVIemR3UGJMbzZ3NDQ4eW9STHNLVVA3RitxdWZUZ2M2R3RXVEdyclp0Y255NklZY3NpL2ZUeUdramk2bEFpaEtHS0x5eC9meXdMRHZyRjBlM3pVbVNVSk1kSmZXSEdzL3FmdWpFcXg1MUhYNzdySTF0Sld4Rjg1ZkFpRXV6UHhHY2lBcEd5T0RwWVYwOGpNaExDUTg3SUZVMmwwOFl0M1hwTW5NeXNXYTZoUWVpVXpoZ2xydE55dG5aM3NuRHBqRzN4RXN0a2NLU3pQN2ptSDNDM0hwYzE2WVJtdnVkU2R3YUtMWlc0NDFvbEhtTWM5K0VRN0lFamltYmsyckk3a0cyajBtdVhJWm5pMENka3hTSHVhUG1aSmlOU3hLMmpCTHpsWkkwQjZpZkg4SXlxKzlxR3BZbVptSWlWdTUzbFRmZkUwdkIyMGxMR0o5OFVEd0U1QjZ2NjZhZXZOT1UycnhFRHlWOWxQL0l1R0h4a2xwdmgzWVhmUlpiQWlwY0ppZ3R1OStiWEtkMlh1VHFsT0JKa0xsWHdQMDlpejZNS0ZJcm5sckR0SllOREpDeS9wMjVzc2srU2lYNnM4UEZTa2xkbVcwRWxMVGNBcHNVOEk1RjkyL0M2TmZtcHJKbVpzNUhCME1GdWN4TnZEd01sY1pleHFkenJETCtFTG1RZVlvTmFKZ1NXYUNRSm8vUWVtZ3djUE1UelFLMyt2aEx5d3o0VFJlcHRGNElLSmRUT04wQllYTDVzbzlORkhhTnZYUks2VGc5ZmdYRE5WTWZjaGFETnZUUGFPQ3IrcEhJZktWME1sUktSNmxzY1pGYUpRczdJV0pkOUZic3lVakF5bTFYMVo3UWRQdmhvZkVBRGttNy9LMFFHWmYwaVVkZi9FWHVoRjR0VGxGM3AydWwrcmorcmRIQ3dzN1dQS254Y0c3eEQ0RStVdnpQeGo3RzQwYmVDMWZZVmpJY1BFblNXZUFLTEpSZmFZRzJ3MnlBd2RpUGpYYTM2cHhuR1Qwa2JyQUR2VEE2UnJnY3pVUHErV0xIS1kwRDlGK2psTGpKemdxSVM1V2V3PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Park Plaza Lodge,86,466.283,https://www.booking.com/hotel/us/park-plaza-lodge.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=2170011_99841145_0_0_0&highlighted_blocks=2170011_99841145_0_0_0&matching_block_id=2170011_99841145_0_0_0&sr_pri_blocks=2170011_99841145_0_0_0__128250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING,88,463.829,https://www.booking.com/hotel/us/hollywood-cosmopolitan-apartments.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=723037207_360678117_3_0_0&highlighted_blocks=723037207_360678117_3_0_0&matching_block_id=723037207_360678117_3_0_0&sr_pri_blocks=723037207_360678117_3_0_0__127575&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Best Western Hollywood Plaza Inn Hotel - Hollywood Walk of Fame LA,72,389.729,https://www.booking.com/hotel/us/best-western-hollywood-plaza-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=5646614_346789571_4_0_0&highlighted_blocks=5646614_346789571_4_0_0&matching_block_id=5646614_346789571_4_0_0&sr_pri_blocks=5646614_346789571_4_0_0__107194&from=searchresults#hotelTmpl
California,Los Angeles,Gorgeous Hollywood Apts LA's Best Location and Amazing Roof Deck,86,401.385,https://www.booking.com/hotel/us/iconic-monroe-2-bedroom-condo-on-hollywood-walk-of-fame.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=710275408_346595212_3_0_0&highlighted_blocks=710275408_346595212_3_0_0&matching_block_id=710275408_346595212_3_0_0&sr_pri_blocks=710275408_346595212_3_0_0__110400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,The Godfrey Hotel Hollywood,80,467.556,https://www.booking.com/hotel/us/the-godfrey-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=449549901_135707195_0_0_0&highlighted_blocks=449549901_135707195_0_0_0&matching_block_id=449549901_135707195_0_0_0&sr_pri_blocks=449549901_135707195_0_0_0__128600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Hollywood Historic Hotel,80,559.612,https://www.booking.com/hotel/us/hollywood-historic.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=24064802_91468411_0_0_0&highlighted_blocks=24064802_91468411_0_0_0&matching_block_id=24064802_91468411_0_0_0&sr_pri_blocks=24064802_91468411_0_0_0__153920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,The Hotel Hollywood,75,254.214,https://www.booking.com/hotel/us/hollywood-guest-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=18262401_309311088_0_0_0&highlighted_blocks=18262401_309311088_0_0_0&matching_block_id=18262401_309311088_0_0_0&sr_pri_blocks=18262401_309311088_0_0_0__69921&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Ultimate Tokyo Vibes,45,254.502,https://www.booking.com/hotel/us/ultimate-tokyo-vibes.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=1101870501_383261307_2_0_0&highlighted_blocks=1101870501_383261307_2_0_0&matching_block_id=1101870501_383261307_2_0_0&sr_pri_blocks=1101870501_383261307_2_0_0__70000&from=searchresults#hotelTmpl
California,Los Angeles,Loews Hollywood Hotel,84,559.976,https://www.booking.com/hotel/us/loews-hollywood-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=44865613_372955943_2_42_0&highlighted_blocks=44865613_372955943_2_42_0&matching_block_id=44865613_372955943_2_42_0&sr_pri_blocks=44865613_372955943_2_42_0__154020&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Venice Beach Apartments Monthly rents,89,280.752,https://www.booking.com/hotel/us/venice-beach-apartments-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=597405606_315247027_0_0_0&highlighted_blocks=597405606_315247027_0_0_0&matching_block_id=597405606_315247027_0_0_0&sr_pri_blocks=597405606_315247027_0_0_0__77220&from=searchresults#hotelTmpl
California,Los Angeles,Samesun Hollywood,77,387.424,https://www.booking.com/hotel/us/samesun-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=137891601_106124203_0_1_0&highlighted_blocks=137891601_106124203_0_1_0&matching_block_id=137891601_106124203_0_1_0&sr_pri_blocks=137891601_106124203_0_1_0__106560&from=searchresults#hotelTmpl
California,Los Angeles,Hotel Normandie - Los Angeles,81,367.355,https://www.booking.com/hotel/us/normandie-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=51579602_88752261_2_0_0&highlighted_blocks=51579602_88752261_2_0_0&matching_block_id=51579602_88752261_2_0_0&sr_pri_blocks=51579602_88752261_2_0_0__101040&from=searchresults#hotelTmpl
California,Los Angeles,"Kimpton Everly Hotel Hollywood, an IHG Hotel",81,566.593,https://www.booking.com/hotel/us/kimpton-everly.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=215109604_129421699_2_34_0&highlighted_blocks=215109604_129421699_2_34_0&matching_block_id=215109604_129421699_2_34_0&sr_pri_blocks=215109604_129421699_2_34_0__155840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Best Western Burbank Airport Inn,80,262.66,https://www.booking.com/hotel/us/best-western-burbank-airport-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b0a9718e97ec0075&srepoch=1701965346&all_sr_blocks=19197104_332364741_2_1_0&highlighted_blocks=19197104_332364741_2_1_0&matching_block_id=19197104_332364741_2_1_0&sr_pri_blocks=19197104_332364741_2_1_0__72244&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
